,,Martin Heinrich,Nella Louise Domenici,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,,
Precinct,90,102,151,253,253
Precinct,91,191,369,560,560
Precinct,92,86,187,273,273
Precinct,93,200,400,600,600
Precinct,94,100,137,237,237
Precinct,95,88,86,174,174
Precinct,101,137,359,496,496
Precinct,102,110,279,389,389
Precinct,103,58,173,231,231
Precinct,104,5,79,84,84
Precinct,105,58,223,281,281
Precinct,106,54,202,256,256
Precinct,Voter Privacy,3,4,7,7
County,Cibola,4955,3801,8756,8756
Precinct,1,20,119,139,139
Precinct,2,105,83,188,188
Precinct,3,31,36,67,67
Precinct,4,92,223,315,315
Precinct,5,411,183,594,594
Precinct,6,39,91,130,130
Precinct,7,171,251,422,422
Precinct,8,212,189,401,401
Precinct,9,264,216,480,480
Precinct,10,223,217,440,440
Precinct,11,293,271,564,564
Precinct,12,145,128,273,273
Precinct,13,107,107,214,214
Precinct,14,144,260,404,404
Precinct,15,111,246,357,357
Precinct,16,117,200,317,317
Precinct,17,465,72,537,537
Precinct,18,97,64,161,161
Precinct,19,93,190,283,283
Precinct,20,321,60,381,381
Precinct,21,145,34,179,179
Precinct,22,140,31,171,171
Precinct,23,38,10,48,48
Precinct,24,199,37,236,236
Precinct,25,106,33,139,139
Precinct,26,236,104,340,340
Precinct,27,69,87,156,156
Precinct,28,202,179,381,381
Precinct,29,239,33,272,272
Precinct,30,120,47,167,167
Precinct,Voter Privacy,0,0,0,0
County,Colfax,2706,3031,5737,5737
Precinct,1,185,216,401,401
Precinct,2,172,149,321,321
Precinct,3,132,121,253,253
Precinct,4,109,167,276,276
Precinct,5,187,194,381,381
Precinct,7,76,115,191,191
Precinct,8,274,346,620,620
Precinct,9,82,103,185,185
Precinct,10,25,53,78,78
Precinct,11,65,54,119,119
Precinct,12,85,101,186,186
Precinct,13,50,45,95,95
Precinct,14,68,88,156,156
Precinct,15,143,187,330,330
Precinct,16,236,276,512,512
Precinct,17,144,106,250,250
Precinct,18,40,39,79,79
Precinct,19,59,36,95,95
Precinct,20,139,97,236,236
Precinct,21,222,209,431,431
Precinct,22,213,329,542,542
Precinct,Voter Privacy,0,0,0,0
County,Curry,4532,10176,14708,14708
Precinct,1,12,91,103,103
Precinct,2,7,126,133,133
Precinct,3,17,126,143,143
Precinct,4,57,371,428,428
Precinct,5,66,159,225,225
Precinct,6,98,83,181,181
Precinct,7,156,122,278,278
Precinct,8,208,261,469,469
Precinct,9,183,214,397,397
Precinct,10,74,304,378,378
Precinct,11,170,359,529,529
Precinct,12,235,339,574,574
Precinct,13,133,210,343,343
Precinct,14,138,294,432,432
Precinct,15,183,280,463,463
Precinct,16,*,35,35,35
Precinct,17,153,426,579,579
Precinct,18,201,579,780,780
Precinct,19,114,267,381,381
Precinct,20,177,205,382,382
Precinct,21,93,155,248,248
Precinct,22,69,126,195,195
Precinct,23,88,300,388,388
Precinct,24,197,546,743,743
Precinct,25,87,71,158,158
Precinct,26,90,98,188,188
Precinct,27,39,69,108,108
Precinct,28,63,96,159,159
Precinct,29,125,169,294,294
Precinct,30,41,240,281,281
Precinct,31,110,230,340,340
Precinct,32,73,237,310,310
Precinct,33,119,337,456,456
Precinct,34,9,74,83,83
Precinct,35,95,512,607,607
Precinct,36,29,138,167,167
Precinct,37,186,488,674,674
Precinct,38,115,280,395,395
Precinct,39,122,372,494,494
Precinct,40,137,335,472,472
Precinct,41,60,108,168,168
Precinct,42,98,158,256,256
Precinct,43,103,186,289,289
Precinct,Voter Privacy,*,*,*,2
County,De Baca,268,585,853,853
Precinct,1,6,62,68,68
Precinct,2,98,318,416,416
Precinct,3,97,163,260,260
Precinct,4,67,42,109,109
Precinct,Voter Privacy,0,0,0,0
County,Dona Ana,46715,36355,83070,83070
Precinct,1,130,151,281,281
Precinct,2,131,139,270,270
Precinct,3,111,161,272,272
Precinct,4,299,238,537,537
Precinct,5,149,134,283,283
Precinct,6,155,206,361,361
Precinct,7,396,342,738,738
Precinct,8,175,122,297,297
Precinct,9,120,82,202,202
Precinct,10,85,62,147,147
Precinct,11,249,191,440,440
Precinct,12,164,109,273,273
Precinct,13,222,96,318,318
Precinct,14,245,272,517,517
Precinct,15,121,168,289,289
Precinct,16,308,189,497,497
