"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Legislative District 22 - State Representative Pos. 2","Lisa Parshley","(Prefers Democratic Party)",46932,62.41,"Legislative"
"Legislative District 22 - State Representative Pos. 2","Syd Locke","(Prefers Democratic Party)",26183,34.82,"Legislative"
"Legislative District 22 - State Representative Pos. 2","WRITE-IN"," ",2090,2.78,"Legislative"
"Legislative District 23 - State Senator","Drew Hansen","(Prefers Democratic Party)",55388,64.24,"Legislative"
"Legislative District 23 - State Senator","Lance Byrd","(Prefers Republican Party)",30742,35.66,"Legislative"
"Legislative District 23 - State Senator","WRITE-IN"," ",89,0.1,"Legislative"
"Legislative District 23 - State Representative Pos. 1","Tarra Simmons","(Prefers Democratic Party)",53928,62.95,"Legislative"
"Legislative District 23 - State Representative Pos. 1","Kurt Robertson","(Prefers Republican Party)",31609,36.9,"Legislative"
"Legislative District 23 - State Representative Pos. 1","WRITE-IN"," ",135,0.16,"Legislative"
"Legislative District 23 - State Representative Pos. 2","Greg Nance","(Prefers Democratic Party)",56894,65.81,"Legislative"
"Legislative District 23 - State Representative Pos. 2","Jamie Miles","(Prefers Republican Party)",29439,34.05,"Legislative"
"Legislative District 23 - State Representative Pos. 2","WRITE-IN"," ",116,0.13,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Senator","Mike Chapman","(Prefers Democratic Party)",52108,54.78,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Senator","Marcia Kelbon","(Prefers Republican Party)",42895,45.09,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Senator","WRITE-IN"," ",120,0.13,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 1","Adam Bernbaum","(Prefers Democratic Party)",52007,54.92,"Legislative"
